Player,MPG,PPG,RPG,APG,SPG,BPG,TOVpg,FGpct
LeBron James,38.39525691699605,27.06798418972332,7.434782608695652,7.388142292490119,1.592885375494071,0.7565217391304347,3.4972332015810275,0.5049833992094861
Michael Jordan,38.25839552238806,30.12313432835821,6.223880597014926,5.254664179104478,2.345149253731343,0.8330223880597015,2.7276119402985075,0.49574067164179103
